,Primary Instructor,Course Title,Subject,Number,Overall_GPA,Total_Students,A_range,B_range,C_range,D_range,F_range,YearTerm
21,"Cassinelli, Sarah M",Principles of Composition,RHET,105,3.5304545454545457,22,81.81818181818183,9.090909090909092,0.0,0.0,9.090909090909092,1
22,"Caudill, Cody",Principles of Composition,RHET,105,3.5674143610013176,89,68.23828345567476,26.021080368906453,3.3596837944664033,1.1904761904761905,1.1904761904761905,4
23,"Cavallaro, Alexandra",Principles of Composition,RHET,105,3.385232683982684,87,50.75757575757576,42.37012987012987,5.7359307359307365,0.0,1.1363636363636365,4
24,"Challen, Geoffrey W",Intro to Computer Science I,CS,124,3.564426973747474,6608,77.89295733095679,11.900276689435783,4.359598039465912,2.485990167602128,3.361177772539391,8
25,"Chanda, Debojoy",Principles of Composition,RHET,105,3.8181818181818183,22,95.45454545454545,0.0,0.0,0.0,4.545454545454546,1
26,"Cherolis, Stephanie M",Principles of Composition,RHET,105,3.0490476190476192,21,52.38095238095239,33.33333333333333,0.0,9.523809523809524,4.761904761904762,1
27,"Chuang, Jer-Chin",Linear Algebra w Computat Appl,MATH,257,3.2827567913053315,4579,54.40652035333563,29.07437566523486,10.62893220663028,4.135505088882937,1.7546666859162952,17
28,"Clements, Jill H",Principles of Composition,RHET,105,3.357402597402597,43,48.80952380952381,44.26406926406926,6.926406926406926,0.0,0.0,2
29,"Condis, Megan A",Principles of Composition,RHET,105,3.666818181818182,22,77.27272727272727,13.636363636363635,9.090909090909092,0.0,0.0,1
30,"Cooper, Bethany R",Principles of Composition,RHET,105,3.7416594516594515,130,84.77633477633476,10.678210678210677,1.5151515151515154,0.7575757575757577,2.272727272727273,6
31,"Cottingham, Mary Rose",Principles of Composition,RHET,105,3.3098809523809525,84,54.76190476190476,33.33333333333333,4.761904761904762,5.9523809523809526,1.1904761904761905,4
32,"Croan, Blair B",Principles of Composition,RHET,105,2.9038095238095236,21,28.57142857142857,38.095238095238095,23.809523809523807,4.761904761904762,4.761904761904762,1
33,"D'Angelo, John P",Calculus II,MATH,231,3.1904761904761907,21,28.57142857142857,61.904761904761905,9.523809523809524,0.0,0.0,1
34,"Dahlquist, Mark",Principles of Composition,RHET,105,3.204832251082251,87,29.816017316017316,65.63852813852813,0.0,0.0,4.545454545454546,4
35,"DeVille, Robert E",Calculus II,MATH,231,2.946219796917683,1047,31.021897072893676,42.31808184420624,19.00459091931355,5.548513887719349,2.1069162758671833,4
36,"Dennis, Sarah",Principles of Composition,RHET,105,3.6671212121212116,66,78.78787878787878,16.666666666666668,3.0303030303030307,0.0,1.5151515151515154,3
37,"Dick, Norah K",Principles of Composition,RHET,105,3.3563636363636364,44,70.45454545454545,15.90909090909091,4.545454545454546,0.0,9.09090909090909,2
38,"Dobbs, Theresa M",Calculus II,MATH,231,3.313597161869289,519,49.49730090792593,35.26471794760095,10.041366717127163,3.1373995781647626,2.059214849181197,3
39,"Dolinar, Brian",Principles of Composition,RHET,105,3.530909090909091,22,68.18181818181817,22.727272727272727,9.090909090909092,0.0,0.0,1
40,"Dowdall, Spencer D",Calculus II,MATH,231,2.874711346881849,491,31.18815169024374,35.66115428040114,24.82151158929402,6.521883509331207,1.807298930729893,2
41,"Duursma, Iwan M",Calculus II,MATH,231,2.6056540985758576,800,24.241079472224673,34.353287112497426,25.46364448232675,10.105551317504071,5.836437615447079,4
